metric,value
n_sales,689.0
median_eur_per_m2,11428.57142857143
mean_eur_per_m2,11690.338688917465
p25,9992.413793103447
p75,13036.046511627907
p10,8376.137254901962
p90,15224.833333333334
median_price,350500.0
median_surface,31.0
