arr,label,n,median,mean,p10,p25,p75,p90
75102,Paris 2nd (Sentier/Bourse),8,11271.556731638055,11520.684612191402,7546.610169491525,9383.37912087912,14420.209044908286,15552.822580645161
75103,Paris 3rd (subject),12,10507.613636363636,12594.052407160263,9507.142857142857,9860.83791208791,12176.143299425032,20623.6742081448
75104,Paris 4th (Marais/Île St-Louis),8,13643.985609813637,13332.426472383479,8874.755244755244,10436.538461538461,14964.76923076923,17726.153846153844
75110,Paris 10th (Faubourg St-Denis/Gare du Nord),20,9099.462365591397,10560.063260678107,7889.160253902004,8315.41149068323,12476.308823529413,14199.36398467433
75111,Paris 11th (Oberkampf/Bastille),20,9842.5,9898.82992517531,7654.55616285555,9147.156132142856,11025.838734273733,12068.787878787878
