id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1210539,2024-01-03,000001,Vente,190000,34,,RUE SIBUET,8968,75012,75112,Paris 12e Arrondissement,75,,,75112000AC0073,,,624,,863,21.6,,,,,,,2,2,Appartement,22,1,,,,,,2.403229,48.843503
2024-1210542,2024-01-08,000001,Vente,475700,2,,AV DU DOC ARNOLD NETTER,2816,75012,75112,Paris 12e Arrondissement,75,,,75112000AE0052,,,9,58.68,,,,,,,,,1,3,Dépendance,,0,,,,,,2.405006,48.841022
2024-1210542,2024-01-08,000001,Vente,475700,2,,AV DU DOC ARNOLD NETTER,2816,75012,75112,Paris 12e Arrondissement,75,,,75112000AE0052,,,9,58.68,,,,,,,,,1,2,Appartement,55,3,,,,,,2.405006,48.841022
2024-1210548,2024-01-05,000001,Vente,300000,211,B,RUE DE BERCY,0881,75012,75112,Paris 12e Arrondissement,75,,,75112000EK0014,,,66,34.94,,,,,,,,,1,2,Appartement,42,3,,,,,,2.370663,48.844981
2024-1210551,2024-01-04,000001,Vente,1460000,13,,RUE DE LA BRECHE AUX LOUPS,1265,75012,75112,Paris 12e Arrondissement,75,,,75112000BT0021,,,6,148.3,7,148.3,,,,,,,2,2,Appartement,148,6,,,,,,2.393388,48.837128
2024-1210551,2024-01-04,000001,Vente,1460000,13,,RUE DE LA BRECHE AUX LOUPS,1265,75012,75112,Paris 12e Arrondissement,75,,,75112000BT0021,,,22,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.393388,48.837128
2024-1210551,2024-01-04,000001,Vente,1460000,13,,RUE DE LA BRECHE AUX LOUPS,1265,75012,75112,Paris 12e Arrondissement,75,,,75112000BT0021,,,35,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.393388,48.837128
2024-1210551,2024-01-04,000001,Vente,1460000,13,,RUE DE LA BRECHE AUX LOUPS,1265,75012,75112,Paris 12e Arrondissement,75,,,75112000BT0021,,,33,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.393388,48.837128
2024-1210558,2024-01-05,000001,Vente,311726.88,3,,RUE EBELMEN,3074,75012,75112,Paris 12e Arrondissement,75,,,75112000CE0009,,,13,,165,,31,,,,,,3,3,Dépendance,,0,,,,,,2.38742,48.843619
2024-1210558,2024-01-05,000001,Vente,311726.88,3,,RUE EBELMEN,3074,75012,75112,Paris 12e Arrondissement,75,,,75112000CE0009,,,13,,165,,31,,,,,,3,2,Appartement,32,2,,,,,,2.38742,48.843619
2024-1210582,2024-01-09,000001,Vente,17500,19,,RUE LASSON,5370,75012,75112,Paris 12e Arrondissement,75,,,75112000AH0020,,,316,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.407545,48.843296
2024-1210586,2024-01-11,000001,Vente,17000,154,,RUE DE PICPUS,7402,75012,75112,Paris 12e Arrondissement,75,,,75112000BO0047,,,325,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.403148,48.834562
2024-1210635,2024-01-11,000001,Vente,50000,27,B,RUE DE RAMBOUILLET,8007,75012,75112,Paris 12e Arrondissement,75,,,75112000HA0155,,,435,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.38151,48.844787
2024-1210652,2024-01-04,000001,Vente,1250000,66,,RUE DU RENDEZ VOUS,8137,75012,75112,Paris 12e Arrondissement,75,,,75112000AA0019,,,12,139.54,66,,,,,,,,2,2,Appartement,147,5,,,,,,2.400843,48.847161
2024-1210652,2024-01-04,000001,Vente,1250000,66,,RUE DU RENDEZ VOUS,8137,75012,75112,Paris 12e Arrondissement,75,,,75112000AA0019,,,12,139.54,66,,,,,,,,2,3,Dépendance,,0,,,,,,2.400843,48.847161
2024-1210652,2024-01-04,000001,Vente,1250000,66,,RUE DU RENDEZ VOUS,8137,75012,75112,Paris 12e Arrondissement,75,,,75112000AA0019,,,172,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.400843,48.847161
2024-1210652,2024-01-04,000001,Vente,1250000,66,,RUE DU RENDEZ VOUS,8137,75012,75112,Paris 12e Arrondissement,75,,,75112000AA0019,,,12,139.54,66,,,,,,,,2,3,Dépendance,,0,,,,,,2.400843,48.847161
2024-1210653,2024-01-11,000001,Vente,268000,24,,RUE CORIOLIS,2336,75012,75112,Paris 12e Arrondissement,75,,,75112000DE0014,,,130,32.82,351,,,,,,,,2,3,Dépendance,,0,,,,,,2.391584,48.836232
2024-1210653,2024-01-11,000001,Vente,268000,24,,RUE CORIOLIS,2336,75012,75112,Paris 12e Arrondissement,75,,,75112000DE0014,,,130,32.82,351,,,,,,,,2,2,Appartement,33,1,,,,,,2.391584,48.836232
2024-1210659,2024-01-09,000001,Vente,28000,9,,RUE LASSON,5370,75012,75112,Paris 12e Arrondissement,75,,,75112000AH0019,,,253,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.40682,48.84339
