id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1273241,2025-01-03,000001,Vente,1500000,27,,RUE DES ROSIERS,8370,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0071,,,10,93.54,45,,,,,,,,2,4,Local industriel. commercial ou assimilé,160,0,,,,,,2.358325,48.857555
2025-1273251,2025-01-07,000001,Vente,790000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1043,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-1273251,2025-01-07,000001,Vente,790000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1023,72.1,,,,,,,,,1,2,Appartement,24,2,,,,,,2.353699,48.858088
2025-1273253,2025-01-07,000001,Vente,543800,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1042,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-1273253,2025-01-07,000001,Vente,543800,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1028,45,,,,,,,,,1,2,Appartement,16,1,,,,,,2.353699,48.858088
2025-1273302,2025-01-10,000001,Vente,1080000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1008,94.32,,,,,,,,,1,2,Appartement,70,3,,,,,,2.353699,48.858088
2025-1273302,2025-01-10,000001,Vente,1080000,14,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0030,,,1016,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353699,48.858088
2025-1273304,2025-01-09,000001,Vente,2400000,34,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AG0086,,,101,,109,,119,,,,,,3,4,Local industriel. commercial ou assimilé,135,0,,,,,,2.354439,48.859517
2025-1273304,2025-01-09,000001,Vente,2400000,34,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AG0086,,,122,,,,,,,,,,1,2,Appartement,85,4,,,,,,2.354439,48.859517
2025-1273329,2025-01-09,000001,Vente,4800000,18,,QUAI DE BETHUNE,0940,75004,75104,Paris 4e Arrondissement,75,,,75104000AU0041,,,101,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.358298,48.850704
2025-1273329,2025-01-09,000001,Vente,4800000,18,,QUAI DE BETHUNE,0940,75004,75104,Paris 4e Arrondissement,75,,,75104000AU0041,,,162,,166,,,,,,,,2,2,Appartement,184,6,,,,,,2.358298,48.850704
2025-1273329,2025-01-09,000001,Vente,4800000,18,,QUAI DE BETHUNE,0940,75004,75104,Paris 4e Arrondissement,75,,,75104000AU0041,,,159,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.358298,48.850704
2025-1273332,2025-01-07,000001,Vente,1450000,25,,RUE DE LA CERISAIE,1649,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0048,,,13,89.15,30,,,,,,,,2,3,Dépendance,,0,,,,,,2.364529,48.852127
2025-1273332,2025-01-07,000001,Vente,1450000,25,,RUE DE LA CERISAIE,1649,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0048,,,13,89.15,30,,,,,,,,2,2,Appartement,100,4,,,,,,2.364529,48.852127
2025-1273347,2025-01-16,000001,Vente,310500,20,,RUE FERDINAND DUVAL,3583,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0043,,,2,25.3,,,,,,,,,1,4,Local industriel. commercial ou assimilé,25,0,,,,,,2.360006,48.856598
2025-1273351,2025-01-09,000001,Vente,475000,3,,RUE DE TURENNE,9506,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0074,,,19,34.68,,,,,,,,,1,2,Appartement,34,2,,,,,,2.363001,48.854959
2025-1273378,2025-01-03,000001,Vente,235000,18,,PL DES VOSGES,9917,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0083,,,36,,,,,,,,,,1,2,Appartement,15,1,,,,,,2.366981,48.855593
2025-1273396,2025-01-07,000001,Vente,769000,5,,BD MORLAND,6559,75004,75104,Paris 4e Arrondissement,75,,,75104000AS0045,,,14,,6,70.02,,,,,,,2,3,Dépendance,,0,,,,,,2.364796,48.847846
2025-1273396,2025-01-07,000001,Vente,769000,5,,BD MORLAND,6559,75004,75104,Paris 4e Arrondissement,75,,,75104000AS0045,,,14,,6,70.02,,,,,,,2,2,Appartement,71,3,,,,,,2.364796,48.847846
