id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1210537,2024-01-05,000001,Vente,135000,6,,RUE D ALLERAY,0212,75015,75115,Paris 15e Arrondissement,75,,,75115000BS0086,,,17,11.7,,,,,,,,,1,2,Appartement,11,1,,,,,,2.300551,48.838492
2024-1210540,2024-01-03,000001,Vente,22000,3,,RUE ANTOINE BOURDELLE,0372,75015,75115,Paris 15e Arrondissement,75,,,75115000CP0049,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.319858,48.84279
2024-1210556,2024-01-04,000001,Vente,25000,18,,RUE LECOURBE,5456,75015,75115,Paris 15e Arrondissement,75,,,75115000CD0042,,,468,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.308726,48.845026
2024-1210561,2024-01-09,000001,Vente,372300,160,,RUE DE LA CROIX NIVERT,2459,75015,75115,Paris 15e Arrondissement,75,,,75115000EO0027,,,37,35.5,,,,,,,,,1,2,Appartement,35,2,,,,,,2.290522,48.840683
2024-1210561,2024-01-09,000001,Vente,372300,160,,RUE DE LA CROIX NIVERT,2459,75015,75115,Paris 15e Arrondissement,75,,,75115000EO0027,,,37,35.5,,,,,,,,,1,3,Dépendance,,0,,,,,,2.290522,48.840683
2024-1210564,2024-01-09,000001,Vente,148606,36,,RUE FREMICOURT,3854,75015,75115,Paris 15e Arrondissement,75,,,75115000DF0071,,,12,15.03,,,,,,,,,1,2,Appartement,16,1,,,,,,2.300031,48.847459
2024-1210565,2024-01-08,000001,Vente,447600,57,,RUE DE LA PROCESSION,7845,75015,75115,Paris 15e Arrondissement,75,,,75115000CL0007,,,8,64.03,,,,,,,,,1,2,Appartement,64,3,,,,,,2.310046,48.836576
2024-1210565,2024-01-08,000001,Vente,447600,57,,RUE DE LA PROCESSION,7845,75015,75115,Paris 15e Arrondissement,75,,,75115000CL0007,,,8,64.03,,,,,,,,,1,3,Dépendance,,0,,,,,,2.310046,48.836576
2024-1210567,2024-01-09,000001,Vente,1075000,4,,SQ CHARLES LAURENT,1848,75015,75115,Paris 15e Arrondissement,75,,,75115000BY0045,,,1306,95.07,1332,,,,,,,,2,2,Appartement,94,4,,,,,,2.303419,48.843552
2024-1210567,2024-01-09,000001,Vente,1075000,4,,SQ CHARLES LAURENT,1848,75015,75115,Paris 15e Arrondissement,75,,,75115000BY0045,,,1306,95.07,1332,,,,,,,,2,3,Dépendance,,0,,,,,,2.303419,48.843552
2024-1210570,2024-01-09,000001,Vente,550000,140,,RUE SAINT CHARLES,8513,75015,75115,Paris 15e Arrondissement,75,,,75115000FV0077,,,186,,30,63.82,,,,,,,2,3,Dépendance,,0,,,,,,2.282009,48.843359
2024-1210570,2024-01-09,000001,Vente,550000,140,,RUE SAINT CHARLES,8513,75015,75115,Paris 15e Arrondissement,75,,,75115000FV0077,,,186,,30,63.82,,,,,,,2,2,Appartement,64,2,,,,,,2.282009,48.843359
2024-1210572,2024-01-08,000001,Vente,1315600,27,,RUE DE L ABBE GROULT,0012,75015,75115,Paris 15e Arrondissement,75,,,75115000BQ0014,,,205,103.3,206,,87,,,,,,3,3,Dépendance,,0,,,,,,2.294928,48.84181
2024-1210572,2024-01-08,000001,Vente,1315600,27,,RUE DE L ABBE GROULT,0012,75015,75115,Paris 15e Arrondissement,75,,,75115000BQ0014,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.294928,48.84181
2024-1210572,2024-01-08,000001,Vente,1315600,27,,RUE DE L ABBE GROULT,0012,75015,75115,Paris 15e Arrondissement,75,,,75115000BQ0014,,,205,103.3,206,,87,,,,,,3,2,Appartement,105,4,,,,,,2.294928,48.84181
2024-1210573,2024-01-08,000001,Vente,400000,41,,RUE DE LA QUINTINIE,5346,75015,75115,Paris 15e Arrondissement,75,,,75115000AD0035,,,17,45.36,181,,,,,,,,2,2,Appartement,46,2,,,,,,2.304015,48.837368
2024-1210573,2024-01-08,000001,Vente,400000,41,,RUE DE LA QUINTINIE,5346,75015,75115,Paris 15e Arrondissement,75,,,75115000AD0035,,,17,45.36,181,,,,,,,,2,3,Dépendance,,0,,,,,,2.304015,48.837368
2024-1210580,2024-01-02,000001,Vente,177000,18,,RUE AUGUSTE CHABRIERES,0547,75015,75115,Paris 15e Arrondissement,75,,,75115000BI0047,,,68,,,,,,,,,,1,2,Appartement,17,1,,,,,,2.288954,48.834909
2024-1210581,2024-01-09,000001,Vente,1530000,12,,AV DU MAINE,5922,75015,75115,Paris 15e Arrondissement,75,,,75115000CR0061,,,24,119.08,,,,,,,,,1,4,Local industriel. commercial ou assimilé,119,0,,,,,,2.319732,48.84402
2024-1210588,2024-01-08,000001,Vente,169000,59,,RUE VASCO DE GAMA,9607,75015,75115,Paris 15e Arrondissement,75,,,75115000BJ0013,,,4,23.41,,,,,,,,,1,2,Appartement,22,1,,,,,,2.284756,48.836087
2024-1210593,2024-01-09,000001,Vente,364800,198,,RUE DE LOURMEL,5814,75015,75115,Paris 15e Arrondissement,75,,,75115000EV0049,,,242,,47,34.12,,,,,,,2,2,Appartement,34,1,,,,,,2.280487,48.837264
2024-1210593,2024-01-09,000001,Vente,364800,137,,AV FELIX FAURE,3553,75015,75115,Paris 15e Arrondissement,75,,,75115000EV0049,,,108,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.280487,48.837264
2024-1210593,2024-01-09,000001,Vente,364800,198,,RUE DE LOURMEL,5814,75015,75115,Paris 15e Arrondissement,75,,,75115000EV0049,,,242,,47,34.12,,,,,,,2,3,Dépendance,,0,,,,,,2.280487,48.837264
2024-1210598,2024-01-09,000001,Vente,903000,83,B,RUE DE L ABBE GROULT,0012,75015,75115,Paris 15e Arrondissement,75,,,75115000BS0056,,,12,,5,97.05,,,,,,,2,2,Appartement,100,4,,,,,,2.298197,48.838695
