arr,label,n,median,mean,p10,p25,p75,p90
75102,Paris 2nd (Sentier/Bourse),36,11730.874316939891,12115.90737561751,8956.944444444445,9922.435897435898,13639.138422035481,15274.327956989247
75103,Paris 3rd (subject),64,11287.302725968435,11708.52542803112,6716.666666666667,9410.797779076564,13683.452242283052,15837.898351648353
75104,Paris 4th (Marais/Île St-Louis),55,12378.048780487805,12475.325804997628,8603.745454545455,10063.194152675544,14627.131097560976,16503.84114655571
75110,Paris 10th (Faubourg St-Denis/Gare du Nord),59,9350.0,9859.704494700423,7293.092992891339,8224.789915966387,11004.001554001554,12826.100102145047
75111,Paris 11th (Oberkampf/Bastille),77,10100.0,10142.92629405344,7886.5526315789475,8815.187028571429,11350.420168067227,12754.413573700955
