id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1273261,2025-01-03,000001,Vente,562136,10,,RUE DES MARAICHERS,5985,75020,75120,Paris 20e Arrondissement,75,,,75120000EC0003,,,4,69.9,,,,,,,,,1,2,Appartement,63,2,,,,,,2.408078,48.84847
2025-1273261,2025-01-03,000001,Vente,562136,10,,RUE DES MARAICHERS,5985,75020,75120,Paris 20e Arrondissement,75,,,75120000EC0003,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.408078,48.84847
2025-1273267,2025-01-09,000001,Vente,227100,3,,RUE DE L EST,3370,75020,75120,Paris 20e Arrondissement,75,,,75120000AR0072,,,62,,94,24.19,,,,,,,2,2,Appartement,29,1,,,,,,2.394268,48.870809
2025-1273267,2025-01-09,000001,Vente,227100,3,,RUE DE L EST,3370,75020,75120,Paris 20e Arrondissement,75,,,75120000AR0072,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.394268,48.870809
2025-1273267,2025-01-09,000001,Vente,227100,3,,RUE DE L EST,3370,75020,75120,Paris 20e Arrondissement,75,,,75120000AR0072,,,62,,94,24.19,,,,,,,2,3,Dépendance,,0,,,,,,2.394268,48.870809
2025-1273268,2025-01-08,000001,Vente,17000,13,,RUE CHARLES FRIEDEL,1836,75020,75120,Paris 20e Arrondissement,75,,,75120000AH0034,,,400,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.395521,48.873221
2025-1273276,2025-01-03,000001,Vente,25000,29,,RUE DES GATINES,3983,75020,75120,Paris 20e Arrondissement,75,,,75120000CE0018,,,41,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.398849,48.866414
2025-1273282,2025-01-13,000001,Vente,303000,28,,RUE DE BELLEVILLE,0833,75020,75120,Paris 20e Arrondissement,75,,,75120000AA0047,,,15,34.05,,,,,,,,,1,2,Appartement,32,2,,,,,,2.379728,48.872446
2025-1273286,2025-01-06,000001,Vente,126000,77,,RUE DE BAGNOLET,0626,75020,75120,Paris 20e Arrondissement,75,,,75120000CO0009,,,100,,110,,120,,,,,,3,4,Local industriel. commercial ou assimilé,16,0,,,,,,2.400136,48.858239
2025-1273288,2025-01-09,000001,Vente,303000,13,,RUE DE L ERMITAGE,3324,75020,75120,Paris 20e Arrondissement,75,,,75120000AP0064,,,7,34.71,,,,,,,,,1,2,Appartement,36,2,,,,,,2.391364,48.869875
2025-1273288,2025-01-09,000001,Vente,303000,13,,RUE DE L ERMITAGE,3324,75020,75120,Paris 20e Arrondissement,75,,,75120000AP0064,,,7,34.71,,,,,,,,,1,3,Dépendance,,0,,,,,,2.391364,48.869875
