id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1273258,2025-01-06,000001,Vente,920000,14,,CITE D ANTIN,0364,75009,75109,Paris 9e Arrondissement,75,,,75109000AP0072,,,21,,7,74.12,,,,,,,2,2,Appartement,70,3,,,,,,2.333984,48.873701
2025-1273258,2025-01-06,000001,Vente,920000,14,,CITE D ANTIN,0364,75009,75109,Paris 9e Arrondissement,75,,,75109000AP0072,,,21,,7,74.12,,,,,,,2,3,Dépendance,,0,,,,,,2.333984,48.873701
2025-1273265,2025-01-02,000001,Vente,415000,40,,RUE DES MARTYRS,6147,75009,75109,Paris 9e Arrondissement,75,,,75109000BA0124,,,191,38.37,192,,,,,,,,2,3,Dépendance,,0,,,,,,2.340569,48.879028
2025-1273265,2025-01-02,000001,Vente,415000,40,,RUE DES MARTYRS,6147,75009,75109,Paris 9e Arrondissement,75,,,75109000BA0124,,,191,38.37,192,,,,,,,,2,2,Appartement,36,2,,,,,,2.340569,48.879028
2025-1273279,2025-01-09,000001,Vente,175000,12,,RUE LA BRUYERE,5211,75009,75109,Paris 9e Arrondissement,75,,,75109000AF0111,,,17,19.01,,,,,,,,,1,2,Appartement,19,1,,,,,,2.335876,48.879377
2025-1273297,2025-01-09,000001,Vente,2039250,54,,RUE SAINT-GEORGES,8617,75009,75109,Paris 9e Arrondissement,75,,,75109000AG0066,,,47,136.28,,,,,,,,,1,2,Appartement,136,3,,,,,,2.337654,48.877689
2025-1273297,2025-01-09,000001,Vente,2039250,54,,RUE SAINT-GEORGES,8617,75009,75109,Paris 9e Arrondissement,75,,,75109000AG0066,,,47,136.28,,,,,,,,,1,3,Dépendance,,0,,,,,,2.337654,48.877689
2025-1273297,2025-01-09,000001,Vente,2039250,54,,RUE SAINT-GEORGES,8617,75009,75109,Paris 9e Arrondissement,75,,,75109000AG0066,,,47,136.28,,,,,,,,,1,3,Dépendance,,0,,,,,,2.337654,48.877689
2025-1273297,2025-01-09,000001,Vente,2039250,54,,RUE SAINT-GEORGES,8617,75009,75109,Paris 9e Arrondissement,75,,,75109000AG0066,,,47,136.28,,,,,,,,,1,3,Dépendance,,0,,,,,,2.337654,48.877689
2025-1273362,2025-01-10,000001,Vente,121000,13,,RUE DE LA TOUR DES DAMES,9369,75009,75109,Paris 9e Arrondissement,75,,,75109000AH0003,,,16,13.86,,,,,,,,,1,2,Appartement,11,1,,,,,,2.33254,48.8776
2025-1273371,2025-01-13,000001,Vente,358500,24,,RUE DU FBOURG MONTMARTRE,3510,75009,75109,Paris 9e Arrondissement,75,,,75109000AW0026,,,25,22.6,31,,32,,,,,,3,2,Appartement,26,1,,,,,,2.343082,48.873525
