Price scenario,All-in basis (€),Annual carry (€),Opp cost of capital @4% (€),Owner annual cost (€),Equivalent rent (€),Own vs rent gap (€),Break-even appreciation needed %
Negotiated to 10th-band,1900342,26795,76014,102808,66989,35819,2.03
Negotiated to mid-band,2100378,28655,84015,112671,66989,45682,2.34
Full ask,2150000,29117,86000,115117,66989,48128,2.41
