id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1210563,2024-01-05,000001,Vente,472000,4,,BD DE L HOPITAL,4649,75005,75105,Paris 5e Arrondissement,75,,,75105000AQ0017,,,23,39.06,,,,,,,,,1,2,Appartement,38,3,,,,,,2.363553,48.842969
2024-1210587,2024-01-12,000001,Vente,825000,16,,RUE LINNE,5696,75005,75105,Paris 5e Arrondissement,75,,,75105000AG0031,,,23,,26,66.04,27,,42,,,,4,2,Appartement,65,3,,,,,,2.354998,48.845113
2024-1210594,2024-01-03,000001,Vente,870000,33,,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0103,,,16,,6,83.76,,,,,,,2,2,Appartement,81,4,,,,,,2.358489,48.839905
2024-1210594,2024-01-03,000001,Vente,870000,33,,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0103,,,16,,6,83.76,,,,,,,2,3,Dépendance,,0,,,,,,2.358489,48.839905
2024-1210595,2024-01-09,000001,Vente,437769,9,,RUE LAPLACE,5340,75005,75105,Paris 5e Arrondissement,75,,,75105000BL0064,,,39,35.37,82,,,,,,,,2,2,Appartement,36,2,,,,,,2.34739,48.847168
2024-1210595,2024-01-09,000001,Vente,437769,9,,RUE LAPLACE,5340,75005,75105,Paris 5e Arrondissement,75,,,75105000BL0064,,,39,35.37,82,,,,,,,,2,3,Dépendance,,0,,,,,,2.34739,48.847168
2024-1210597,2024-01-05,000001,Vente,300000,13,,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0028,,,43,,71,,,,,,,,2,2,Appartement,23,2,,,,,,2.3603,48.840064
2024-1210597,2024-01-05,000001,Vente,300000,13,,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0028,,,43,,71,,,,,,,,2,3,Dépendance,,0,,,,,,2.3603,48.840064
2024-1210620,2024-01-05,000001,Vente,699000,13,,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0028,,,58,,63,,72,,,,,,3,2,Appartement,28,2,,,,,,2.3603,48.840064
2024-1210620,2024-01-05,000001,Vente,699000,13,,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0028,,,67,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3603,48.840064
