id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1273244,2025-01-06,000001,Vente,383000,78,,RUE DE L AQUEDUC,0398,75010,75110,Paris 10e Arrondissement,75,,,75110000AF0027,,,15,50.1,332,,,,,,,,2,3,Dépendance,,0,,,,,,2.367238,48.883445
2025-1273244,2025-01-06,000001,Vente,383000,78,,RUE DE L AQUEDUC,0398,75010,75110,Paris 10e Arrondissement,75,,,75110000AF0027,,,15,50.1,332,,,,,,,,2,2,Appartement,50,2,,,,,,2.367238,48.883445
2025-1273254,2025-01-03,000001,Vente,145000,33,,RUE JACQUES LOUVEL TESSIER,4798,75010,75110,Paris 10e Arrondissement,75,,,75110000BJ0074,,,33,,6,,,,,,,,2,2,Appartement,21,2,,,,,,2.371382,48.871881
2025-1273256,2025-01-07,000001,Vente,374800,22,,RUE LOUIS BLANC,5764,75010,75110,Paris 10e Arrondissement,75,,,75110000BX0005,,,22,37.47,,,,,,,,,1,2,Appartement,28,2,,,,,,2.366582,48.880609
2025-1273263,2025-01-06,000001,Vente,197045,15,,RUE MAZAGRAN,6226,75010,75110,Paris 10e Arrondissement,75,,,75110000AV0036,,,26,16.33,27,14.23,,,,,,,2,2,Appartement,25,2,,,,,,2.351751,48.870966
2025-1273269,2025-01-07,000001,Vente,356961,62,,RUE DE L AQUEDUC,0398,75010,75110,Paris 10e Arrondissement,75,,,75110000AF0046,,,17,41.9,31,,,,,,,,2,2,Appartement,43,2,,,,,,2.365527,48.882945
2025-1273278,2025-01-09,000001,Vente,777700,9,,BD DE DENAIN,2689,75010,75110,Paris 10e Arrondissement,75,,,75110000AM0023,,,30,,62,149.1,,,,,,,2,2,Appartement,140,6,,,,,,2.354023,48.879803
2025-1273278,2025-01-09,000001,Vente,777700,9,,BD DE DENAIN,2689,75010,75110,Paris 10e Arrondissement,75,,,75110000AM0023,,,30,,62,149.1,,,,,,,2,3,Dépendance,,0,,,,,,2.354023,48.879803
2025-1273280,2025-01-10,000001,Vente,200000,123,,BD DE MAGENTA,5907,75010,75110,Paris 10e Arrondissement,75,,,75110000AM0001,,,41,,,,,,,,,,1,2,Appartement,38,2,,,,,,2.352381,48.880004
2025-1273290,2025-01-06,000001,Vente,412000,178,A,RUE DU FBG SAINT DENIS,3516,75010,75110,Paris 10e Arrondissement,75,,,75110000AI0029,,,17,,9,47.51,,,,,,,2,2,Appartement,39,2,,,,,,2.358506,48.880183
2025-1273290,2025-01-06,000001,Vente,412000,178,A,RUE DU FBG SAINT DENIS,3516,75010,75110,Paris 10e Arrondissement,75,,,75110000AI0029,,,17,,9,47.51,,,,,,,2,3,Dépendance,,0,,,,,,2.358506,48.880183
2025-1273294,2025-01-03,000001,Vente,400140,10,,RUE YVES TOUDIC,9988,75010,75110,Paris 10e Arrondissement,75,,,75110000BH0026,,,10,34.98,26,,,,,,,,2,2,Appartement,36,2,,,,,,2.364848,48.868924
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,2,Appartement,79,3,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,2,Appartement,128,4,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,128,0,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,2,Appartement,40,1,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,2,Appartement,40,1,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,2,Appartement,80,3,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,125,0,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,2,Appartement,79,3,S,sols,,,226,2.352537,48.871243
2025-1273298,2025-01-07,000001,Vente,5400000,8,,RUE DE L ECHIQUIER,3084,75010,75110,Paris 10e Arrondissement,75,,,75110000AW0006,,,,,,,,,,,,,0,2,Appartement,40,1,S,sols,,,226,2.352537,48.871243
