surface_bucket,n,median,mean,p25,p75,median_price,median_surface
<50,521,11394.444444444445,11535.442191952596,9890.384615384615,12818.709677419354,285715.0,25.0
50-80,104,11826.143162393162,12455.118723681157,10557.725563909775,13917.557932263815,760000.0,61.5
80-120,51,11613.855421686747,11535.25617989677,9044.882104228123,13974.257425742573,1110000.0,93.0
120-200,12,10507.613636363636,12594.052407160263,9860.83791208791,12176.143299425032,1413425.0,134.5
200+,1,9918.933333333332,9918.933333333332,9918.933333333332,9918.933333333332,2231760.0,225.0
