id_mutation,date_mutation,valeur_fonciere,surface,pieces,adresse,numero,code_postal,n_rows,eur_per_m2
2025-1286604,2025-09-12,815000.0,97.0,4.0,RUE DE SAINTONGE,54.0,75003.0,3,8402.061855670103
2025-1287404,2025-09-15,170000.0,18.0,1.0,RUE RAMBUTEAU,26.0,75003.0,1,9444.444444444445
2025-1286290,2025-09-15,260371.0,20.0,2.0,RUE DE POITOU,32.0,75003.0,1,13018.55
2025-1287116,2025-09-16,221000.0,25.0,1.0,RUE RAMBUTEAU,20.0,75003.0,1,8840.0
2025-1286464,2025-09-16,104000.0,15.0,1.0,BD DU TEMPLE,25.0,75003.0,1,6933.333333333333
2025-1287242,2025-09-18,338500.0,21.0,1.0,RUE DES FRANCS BOURGEOIS,4.0,75003.0,1,16119.047619047618
2025-1287686,2025-09-18,325000.0,25.0,2.0,RUE DUPETIT-THOUARS,2.0,75003.0,1,13000.0
2025-1286885,2025-09-23,295000.0,30.0,1.0,RUE SAINT MARTIN,175.0,75003.0,1,9833.333333333334
2025-1286598,2025-09-23,236000.0,19.0,1.0,RUE REAUMUR,22.0,75003.0,1,12421.052631578947
2025-1287878,2025-09-23,460000.0,32.0,2.0,RUE DES FILLES DU CALVAIRE,7.0,75003.0,1,14375.0
2025-1287283,2025-09-23,355700.0,31.0,2.0,RUE DU VERTBOIS,7.0,75003.0,1,11474.193548387097
2025-1286923,2025-09-23,896250.0,68.0,3.0,RUE VIEILLE DU TEMPLE,106.0,75003.0,2,13180.14705882353
2025-1286991,2025-09-24,490000.0,32.0,2.0,RUE PASTOURELLE,44.0,75003.0,2,15312.5
2025-1291710,2025-09-25,200000.0,22.0,1.0,BD BEAUMARCHAIS,41.0,75003.0,1,9090.90909090909
2025-1287955,2025-09-25,390000.0,34.0,2.0,RUE DU TEMPLE,159.0,75003.0,1,11470.588235294117
2025-1287132,2025-09-25,165000.0,17.0,1.0,BD SAINT MARTIN,17.0,75003.0,1,9705.882352941177
2025-1287299,2025-09-25,850000.0,81.0,4.0,RUE DE TURENNE,95.0,75003.0,1,10493.827160493827
2025-1287277,2025-09-25,363209.25,30.0,2.0,RUE NOTRE-DAME DE NAZARETH,28.0,75003.0,1,12106.975
2025-1287348,2025-09-26,173150.0,14.0,1.0,RUE DU VERTBOIS,50.0,75003.0,1,12367.857142857143
