cluster,n,median_eur_m2,p25,p75,median_surface,median_price
Northern edge,5,13052.686440677966,10195.220588235294,14000.0,118.0,1350000.0
Marais core,21,12095.238095238095,10388.349514563106,15554.651162790698,97.0,1252300.0
Other 75003,38,10868.315508021391,8991.467600786627,12850.652472527472,95.0,1126368.0
