,75102,75103,75104,75110,75111
<50,10840.0,11394.444444444445,12500.0,9235.384615384615,9768.421052631578
50-80,10895.276923076923,11826.143162393162,12235.087719298246,9603.846153846152,9648.148148148148
80-120,11732.415902140672,11613.855421686747,12378.048780487805,9458.104395604396,10430.157261794635
120-200,11271.556731638055,10507.613636363636,13643.985609813637,9099.462365591397,9842.5
200+,,9918.933333333332,8063.427755819061,6455.955445544554,7257.013452040086
