id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1293027,2025-01-08,000001,Vente,75000,15,,AV DE LA MOTTE PICQUET,5308,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0140,,,32,6.1,,,,,,,,,1,3,Dépendance,,0,,,,,,2.30865,48.855962
2025-1293027,2025-01-08,000001,Vente,75000,15,,AV DE LA MOTTE PICQUET,5308,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0140,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.30865,48.855962
2025-1293027,2025-01-08,000001,Vente,75000,15,,AV DE LA MOTTE PICQUET,5308,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0140,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.30865,48.855962
2025-1293027,2025-01-08,000001,Vente,75000,15,,AV DE LA MOTTE PICQUET,5308,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0140,,,26,5.39,,,,,,,,,1,3,Dépendance,,0,,,,,,2.30865,48.855962
2025-1293027,2025-01-08,000001,Vente,75000,15,,AV DE LA MOTTE PICQUET,5308,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0140,,,25,,,,,,,,,,1,2,Appartement,140,6,,,,,,2.30865,48.855962
2025-1293074,2025-01-10,000001,Vente,1028571,71,,AV DE SUFFREN,9114,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0016,,,220,,222,,286,,,,,,3,3,Dépendance,,0,,,,,,2.300372,48.851782
2025-1293074,2025-01-10,000001,Vente,1028571,69,,AV DE SUFFREN,9114,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0016,,,304,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.300372,48.851782
2025-1293074,2025-01-10,000001,Vente,1028571,71,,AV DE SUFFREN,9114,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0016,,,220,,222,,286,,,,,,3,2,Appartement,57,2,,,,,,2.300372,48.851782
2025-1293079,2025-01-09,000001,Vente,620000,26,B,RUE PIERRE LEROUX,7451,75007,75107,Paris 7e Arrondissement,75,,,75107000BG0027,,,125,44.15,91,,,,,,,,2,2,Appartement,43,2,,,,,,2.319178,48.848545
2025-1293079,2025-01-09,000001,Vente,620000,26,B,RUE PIERRE LEROUX,7451,75007,75107,Paris 7e Arrondissement,75,,,75107000BG0027,,,125,44.15,91,,,,,,,,2,3,Dépendance,,0,,,,,,2.319178,48.848545
2025-1293108,2025-01-08,000001,Vente,387000,184,,RUE DE GRENELLE,4314,75007,75107,Paris 7e Arrondissement,75,,,75107000BZ0010,,,7,,,,,,,,,,1,2,Appartement,32,2,,,,,,2.30615,48.857903
2025-1293110,2025-01-02,000001,Vente,155000,51,B,AV DE SEGUR,8909,75007,75107,Paris 7e Arrondissement,75,,,75107000BN0003,,,44,11.43,,,,,,,,,1,3,Dépendance,,0,,,,,,2.308933,48.849825
2025-1293125,2025-01-03,000001,Vente,2598300,62,,RUE DU BAC,0620,75007,75107,Paris 7e Arrondissement,75,,,75107000AL0067,,,4,114.26,,,,,,,,,1,2,Appartement,116,6,,,,,,2.325239,48.855847
2025-1293125,2025-01-03,000001,Vente,2598300,62,,RUE DU BAC,0620,75007,75107,Paris 7e Arrondissement,75,,,75107000AL0067,,,4,114.26,,,,,,,,,1,3,Dépendance,,0,,,,,,2.325239,48.855847
2025-1293148,2025-01-02,000001,Echange,170000,51,B,AV DE SEGUR,8909,75007,75107,Paris 7e Arrondissement,75,,,75107000BN0003,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.308933,48.849825
2025-1293149,2025-01-02,000002,Echange,155000,51,B,AV DE SEGUR,8909,75007,75107,Paris 7e Arrondissement,75,,,75107000BN0003,,,44,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.308933,48.849825
2025-1293167,2025-01-09,000001,Vente,592000,32,,RUE CLER,2106,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0035,,,10,,29,41.7,30,,31,,,,4,2,Appartement,42,3,,,,,,2.305926,48.857028
2025-1293167,2025-01-09,000001,Vente,592000,32,,RUE CLER,2106,75007,75107,Paris 7e Arrondissement,75,,,75107000BY0035,,,10,,29,41.7,30,,31,,,,4,3,Dépendance,,0,,,,,,2.305926,48.857028
2025-1293209,2025-01-06,000001,Vente,1240500,18,,RUE ROUSSELET,8400,75007,75107,Paris 7e Arrondissement,75,,,75107000BH0012,,,19,92.17,42,,,,,,,,2,2,Appartement,91,3,,,,,,2.318049,48.848709
2025-1293209,2025-01-06,000001,Vente,1240500,18,,RUE ROUSSELET,8400,75007,75107,Paris 7e Arrondissement,75,,,75107000BH0012,,,58,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.318049,48.848709
2025-1293220,2025-01-15,000001,Vente,640000,54,,RUE VANEAU,9588,75007,75107,Paris 7e Arrondissement,75,,,75107000BF0040,,,2,60.76,,,,,,,,,1,2,Appartement,62,2,,,,,,2.319127,48.850775
2025-1293236,2025-01-10,000001,Vente,1235000,26,,AV DE SAXE,8866,75007,75107,Paris 7e Arrondissement,75,,,75107000BO0003,,,20,,77,,,,,,,,2,2,Appartement,107,4,,,,,,2.30837,48.849018
2025-1293236,2025-01-10,000001,Vente,1235000,26,,AV DE SAXE,8866,75007,75107,Paris 7e Arrondissement,75,,,75107000BO0003,,,20,,77,,,,,,,,2,3,Dépendance,,0,,,,,,2.30837,48.849018
2025-1293236,2025-01-10,000001,Vente,1235000,61,,AV DE SEGUR,8909,75007,75107,Paris 7e Arrondissement,75,,,75107000BO0008,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.307677,48.848615
2025-1293250,2025-01-09,000001,Vente,1104910,12,,VLA DE SAXE,8867,75007,75107,Paris 7e Arrondissement,75,,,75107000BN0012,,,1,61.06,24,,,,,,,,2,3,Dépendance,,0,,,,,,2.309993,48.849718
2025-1293250,2025-01-09,000001,Vente,1104910,12,,VLA DE SAXE,8867,75007,75107,Paris 7e Arrondissement,75,,,75107000BN0012,,,1,61.06,24,,,,,,,,2,2,Appartement,67,2,,,,,,2.309993,48.849718
2025-1293314,2025-01-07,000001,Vente,240000,68,,RUE DU BAC,0620,75007,75107,Paris 7e Arrondissement,75,,,75107000AL0063,,,4,27.87,,,,,,,,,1,2,Appartement,28,1,,,,,,2.324945,48.855748
2025-1293321,2025-01-21,000001,Vente,80000,81,,QUAI D ORSAY,6952,75007,75107,Paris 7e Arrondissement,75,,,75107000CN0008,,,45,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.303797,48.862091
2025-1293392,2025-01-24,000001,Vente,75000,11,,RUE DE GRENELLE,4314,75007,75107,Paris 7e Arrondissement,75,,,75107000AF0020,,,155,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.328584,48.852738
2025-1293394,2025-01-24,000001,Vente,715000,122,,RUE ST DOMINIQUE,8529,75007,75107,Paris 7e Arrondissement,75,,,75107000CJ0014,,,31,,9,59,,,,,,,2,3,Dépendance,,0,,,,,,2.300799,48.85807
2025-1293394,2025-01-24,000001,Vente,715000,122,,RUE ST DOMINIQUE,8529,75007,75107,Paris 7e Arrondissement,75,,,75107000CJ0014,,,31,,9,59,,,,,,,2,2,Appartement,59,3,,,,,,2.300799,48.85807
2025-1293420,2025-01-07,000001,Vente,916000,94,,RUE DU BAC,0620,75007,75107,Paris 7e Arrondissement,75,,,75107000AL0028,,,187,,189,,,,,,,,2,2,Appartement,77,3,,,,,,2.323489,48.854423
2025-1293420,2025-01-07,000001,Vente,916000,94,,RUE DU BAC,0620,75007,75107,Paris 7e Arrondissement,75,,,75107000AL0028,,,187,,189,,,,,,,,2,3,Dépendance,,0,,,,,,2.323489,48.854423
2025-1293433,2025-01-10,000001,Vente,120000,164,,RUE DE L UNIVERSITE,9527,75007,75107,Paris 7e Arrondissement,75,,,75107000CM0047,,,37,10.09,,,,,,,,,1,3,Dépendance,,0,,,,,,2.306107,48.861378
2025-1293453,2025-01-24,000001,Vente,22000,90,,RUE DU BAC,0620,75007,75107,Paris 7e Arrondissement,75,,,75107000AL0033,,,18,2.89,,,,,,,,,1,3,Dépendance,,0,,,,,,2.323956,48.854704
2025-1293455,2025-01-02,000001,Vente,3014360,28,,BD RASPAIL,8045,75007,75107,Paris 7e Arrondissement,75,,,75107000AG0021,,,19,109.41,,,,,,,,,1,2,Appartement,107,4,,,,,,2.325827,48.85301
2025-1293455,2025-01-02,000001,Vente,3014360,28,,BD RASPAIL,8045,75007,75107,Paris 7e Arrondissement,75,,,75107000AG0021,,,19,109.41,,,,,,,,,1,3,Dépendance,,0,,,,,,2.325827,48.85301
2025-1293455,2025-01-02,000001,Vente,3014360,28,,BD RASPAIL,8045,75007,75107,Paris 7e Arrondissement,75,,,75107000AG0021,,,19,109.41,,,,,,,,,1,3,Dépendance,,0,,,,,,2.325827,48.85301
2025-1293455,2025-01-02,000001,Vente,3014360,28,,BD RASPAIL,8045,75007,75107,Paris 7e Arrondissement,75,,,75107000AG0021,,,19,109.41,,,,,,,,,1,3,Dépendance,,0,,,,,,2.325827,48.85301
2025-1293463,2025-01-15,000001,Vente,431300,22,,RUE JEAN NICOT,4935,75007,75107,Paris 7e Arrondissement,75,,,75107000CL0023,,,63,,80,40,,,,,,,2,2,Appartement,32,2,,,,,,2.307239,48.860115
2025-1293463,2025-01-15,000001,Vente,431300,22,,RUE JEAN NICOT,4935,75007,75107,Paris 7e Arrondissement,75,,,75107000CL0023,,,89,,,,,,,,,,1,2,Appartement,34,2,,,,,,2.307239,48.860115
2025-1293463,2025-01-15,000001,Vente,431300,22,,RUE JEAN NICOT,4935,75007,75107,Paris 7e Arrondissement,75,,,75107000CL0023,,,63,,80,40,,,,,,,2,3,Dépendance,,0,,,,,,2.307239,48.860115
2025-1293478,2025-01-21,000001,Vente,150000,211,,RUE DE L UNIVERSITE,9527,75007,75107,Paris 7e Arrondissement,75,,,75107000CI0014,,,76,9.51,,,,,,,,,1,3,Dépendance,,0,,,,,,2.298327,48.85992
2025-1293493,2025-01-23,000001,Vente,2088700,2,,AV EMILE ACOLLAS,3203,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0025,,,53,,54,,9,129.06,,,,,3,2,Appartement,145,5,,,,,,2.29975,48.852405
2025-1293493,2025-01-23,000001,Vente,2088700,2,,AV EMILE ACOLLAS,3203,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0025,,,53,,54,,9,129.06,,,,,3,3,Dépendance,,0,,,,,,2.29975,48.852405
2025-1293493,2025-01-23,000001,Vente,2088700,2,,AV EMILE ACOLLAS,3203,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0025,,,53,,54,,9,129.06,,,,,3,3,Dépendance,,0,,,,,,2.29975,48.852405
2025-1293493,2025-01-23,000001,Vente,2088700,2,,AV EMILE ACOLLAS,3203,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0025,,,65,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.29975,48.852405
2025-1293493,2025-01-23,000001,Vente,2088700,2,,AV EMILE ACOLLAS,3203,75007,75107,Paris 7e Arrondissement,75,,,75107000BU0025,,,23,9.15,,,,,,,,,1,3,Dépendance,,0,,,,,,2.29975,48.852405
2025-1293495,2025-01-16,000001,Vente,3650000,15,,AV DE TOURVILLE,9393,75007,75107,Paris 7e Arrondissement,75,,,75107000BR0022,,,73,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.308945,48.853648
2025-1293495,2025-01-16,000001,Vente,3650000,15,,AV DE TOURVILLE,9393,75007,75107,Paris 7e Arrondissement,75,,,75107000BR0022,,,31,,52,,72,192.44,96,,,,4,2,Appartement,192,6,,,,,,2.308945,48.853648
2025-1293495,2025-01-16,000001,Vente,3650000,15,,AV DE TOURVILLE,9393,75007,75107,Paris 7e Arrondissement,75,,,75107000BR0022,,,74,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.308945,48.853648
2025-1293495,2025-01-16,000001,Vente,3650000,15,,AV DE TOURVILLE,9393,75007,75107,Paris 7e Arrondissement,75,,,75107000BR0022,,,74,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.308945,48.853648
2025-1293495,2025-01-16,000001,Vente,3650000,15,,AV DE TOURVILLE,9393,75007,75107,Paris 7e Arrondissement,75,,,75107000BR0022,,,31,,52,,72,192.44,96,,,,4,3,Dépendance,,0,,,,,,2.308945,48.853648
2025-1293495,2025-01-16,000001,Vente,3650000,15,,AV DE TOURVILLE,9393,75007,75107,Paris 7e Arrondissement,75,,,75107000BR0022,,,31,,52,,72,192.44,96,,,,4,3,Dépendance,,0,,,,,,2.308945,48.853648
2025-1293497,2025-01-20,000001,Vente,55000,11,,VLA DE SAXE,8867,75007,75107,Paris 7e Arrondissement,75,,,75107000BN0039,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.309722,48.849793
2025-1293498,2025-01-16,000001,Vente,430000,18,,RUE DE LA CHAISE,1682,75007,75107,Paris 7e Arrondissement,75,,,75107000AF0006,,,44,43.31,,,,,,,,,1,2,Appartement,43,2,,,,,,2.326825,48.852994
2025-1293509,2025-01-17,000002,Vente,1000,11,,RUE BARBET DE JOUY,0664,75007,75107,Paris 7e Arrondissement,75,,,75107000BD0011,,,327,,,,,,,,,,1,2,Appartement,142,5,,,,,,2.318149,48.853814
2025-1293514,2025-01-24,000001,Vente,1510000,11,B,AV DE SEGUR,8909,75007,75107,Paris 7e Arrondissement,75,,,75107000BL0011,,,24,,78,97.07,,,,,,,2,2,Appartement,100,2,,,,,,2.31133,48.852221
2025-1293514,2025-01-24,000001,Vente,1510000,11,B,AV DE SEGUR,8909,75007,75107,Paris 7e Arrondissement,75,,,75107000BL0011,,,1,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.31133,48.852221
2025-1293514,2025-01-24,000001,Vente,1510000,11,B,AV DE SEGUR,8909,75007,75107,Paris 7e Arrondissement,75,,,75107000BL0011,,,24,,78,97.07,,,,,,,2,3,Dépendance,,0,,,,,,2.31133,48.852221
2025-1293519,2025-01-24,000001,Vente,85000,84,,RUE DE GRENELLE,4314,75007,75107,Paris 7e Arrondissement,75,,,75107000AL0058,,,20,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.324546,48.855739
2025-1293520,2025-01-14,000001,Vente,965000,168,A,RUE DE GRENELLE,4314,75007,75107,Paris 7e Arrondissement,75,,,75107000BZ0058,,,124,,378,75.3,,,,,,,2,2,Appartement,76,3,,,,,,2.308436,48.858618
