id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1273259,2025-01-07,000001,Vente,271000,123,,AV JEAN JAURES,4903,75019,75119,Paris 19e Arrondissement,75,,,75119000AZ0044,,,33,36.32,,,,,,,,,1,2,Appartement,21,1,,,,,,2.382264,48.886195
2025-1273259,2025-01-07,000001,Vente,271000,123,,AV JEAN JAURES,4903,75019,75119,Paris 19e Arrondissement,75,,,75119000AZ0044,,,33,36.32,,,,,,,,,1,3,Dépendance,,0,,,,,,2.382264,48.886195
2025-1273273,2025-01-10,000001,Vente,347000,47,,RUE DE MEAUX,6236,75019,75119,Paris 19e Arrondissement,75,,,75119000AT0055,,,105,,35,38.41,,,,,,,2,3,Dépendance,,0,,,,,,2.372568,48.881078
2025-1273273,2025-01-10,000001,Vente,347000,47,,RUE DE MEAUX,6236,75019,75119,Paris 19e Arrondissement,75,,,75119000AT0055,,,105,,35,38.41,,,,,,,2,2,Appartement,38,2,,,,,,2.372568,48.881078
2025-1273283,2025-01-02,000001,Vente,120000,112,,AV JEAN JAURES,4903,75019,75119,Paris 19e Arrondissement,75,,,75119000CT0001,,,56,13,62,,,,,,,,2,4,Local industriel. commercial ou assimilé,10,0,,,,,,2.382697,48.885767
2025-1273292,2025-01-09,000001,Vente,235000,160,,RUE D AUBERVILLIERS,0517,75019,75119,Paris 19e Arrondissement,75,,,75119000AH0027,,,3315,44.15,3411,,,,,,,,2,3,Dépendance,,0,,,,,,2.370725,48.893658
2025-1273292,2025-01-09,000001,Vente,235000,160,,RUE D AUBERVILLIERS,0517,75019,75119,Paris 19e Arrondissement,75,,,75119000AH0027,,,3315,44.15,3411,,,,,,,,2,2,Appartement,40,2,,,,,,2.370725,48.893658
2025-1273295,2025-01-10,000001,Vente,518480,70,B,RUE DE ROMAINVILLE,8333,75019,75119,Paris 19e Arrondissement,75,,,75119000DT0069,,,81,60.58,83,,,,,,,,2,2,Appartement,61,3,,,,,,2.40324,48.877076
2025-1273326,2025-01-06,000001,Vente,320000,5,,RUE DE TANGER,9171,75019,75119,Paris 19e Arrondissement,75,,,75119000AA0055,,,110,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.366819,48.884675
2025-1273326,2025-01-06,000001,Vente,320000,5,,RUE DE TANGER,9171,75019,75119,Paris 19e Arrondissement,75,,,75119000AA0055,,,110,,,,,,,,,,1,2,Appartement,49,3,,,,,,2.366819,48.884675
2025-1273331,2025-01-10,000001,Vente,505000,58,,RUE DE L OURCQ,6980,75019,75119,Paris 19e Arrondissement,75,,,75119000BH0009,,,19,,45,,,,,,,,2,4,Local industriel. commercial ou assimilé,49,0,,,,,,2.379531,48.892307
2025-1273340,2025-01-08,000001,Vente,840000,6,,RUE DES ANNELETS,0358,75019,75119,Paris 19e Arrondissement,75,,,75119000DZ0068,,,237,2623,,,,,,,,,1,3,Dépendance,,0,,,,,,2.389802,48.877372
2025-1273340,2025-01-08,000001,Vente,840000,6,,RUE DES ANNELETS,0358,75019,75119,Paris 19e Arrondissement,75,,,75119000DZ0068,,,100,2623,,,,,,,,,1,2,Appartement,95,5,,,,,,2.389802,48.877372
2025-1273340,2025-01-08,000001,Vente,840000,6,,RUE DES ANNELETS,0358,75019,75119,Paris 19e Arrondissement,75,,,75119000DZ0068,,,175,2623,,,,,,,,,1,3,Dépendance,,0,,,,,,2.389802,48.877372
2025-1273375,2025-01-02,000001,Vente,21300,10,,RUE JANSSEN,4816,75019,75119,Paris 19e Arrondissement,75,,,75119000DK0085,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.396882,48.879536
2025-1273379,2025-01-06,000001,Vente,190000,83,,AV SIMON BOLIVAR,8978,75019,75119,Paris 19e Arrondissement,75,,,75119000EW0013,,,3,24,73,,,,,,,,2,2,Appartement,24,1,,,,,,2.37463,48.876203
2025-1273379,2025-01-06,000001,Vente,190000,83,,AV SIMON BOLIVAR,8978,75019,75119,Paris 19e Arrondissement,75,,,75119000EW0013,,,3,24,73,,,,,,,,2,3,Dépendance,,0,,,,,,2.37463,48.876203
2025-1273382,2025-01-06,000001,Vente,420000,6,,RUE DES LILAS,5683,75019,75119,Paris 19e Arrondissement,75,,,75119000DY0013,,,35,,6,54.02,,,,,,,2,2,Appartement,49,3,,,,,,2.395964,48.878309
2025-1273382,2025-01-06,000001,Vente,420000,6,,RUE DES LILAS,5683,75019,75119,Paris 19e Arrondissement,75,,,75119000DY0013,,,35,,6,54.02,,,,,,,2,3,Dépendance,,0,,,,,,2.395964,48.878309
2025-1273383,2025-01-07,000001,Vente,410000,20,,RUE MELINGUE,6257,75019,75119,Paris 19e Arrondissement,75,,,75119000EB0093,,,185,,355,52.52,,,,,,,2,2,Appartement,52,2,,,,,,2.386577,48.875847
2025-1273383,2025-01-07,000001,Vente,410000,20,,RUE MELINGUE,6257,75019,75119,Paris 19e Arrondissement,75,,,75119000EB0093,,,185,,355,52.52,,,,,,,2,3,Dépendance,,0,,,,,,2.386577,48.875847
2025-1273383,2025-01-07,000001,Vente,410000,20,,RUE MELINGUE,6257,75019,75119,Paris 19e Arrondissement,75,,,75119000EB0093,,,185,,355,52.52,,,,,,,2,3,Dépendance,,0,,,,,,2.386577,48.875847
2025-1273395,2025-01-09,000001,Vente,406261,132,,RUE HAXO,4510,75019,75119,Paris 19e Arrondissement,75,,,75119000DT0006,,,127,47.53,23,,,,,,,,2,3,Dépendance,,0,,,,,,2.402093,48.877754
