arr,label,n,median,mean,p10,p25,p75,p90,pct_above_subject
75102,Paris 2nd (Sentier/Bourse),461,10952.380952380952,10981.816881897179,7840.277777777777,9259.25925925926,12385.833333333334,14168.8,51.84381778741866
75103,Paris 3rd (subject),689,11428.57142857143,11690.338688917465,8376.137254901962,9992.413793103447,13036.046511627907,15224.833333333334,64.4412191582003
75104,Paris 4th (Marais/Île St-Louis),469,12473.684210526315,12592.13198516251,8650.34965034965,10649.285714285714,14302.898550724638,16366.90909090909,74.4136460554371
75110,Paris 10th (Faubourg St-Denis/Gare du Nord),1213,9283.720930232557,9511.694244954784,6848.336472065286,8000.0,10623.188405797102,12250.0,23.495465787304205
75111,Paris 11th (Oberkampf/Bastille),1692,9767.543859649122,9814.708023812604,7185.789473684211,8492.103892821031,10994.642857142857,12199.23076923077,29.37352245862884
