id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1210543,2024-01-04,000001,Vente,30000,25,,RUE NICOLO,6771,75016,75116,Paris 16e Arrondissement,75,,,75116000DO0102,,,28,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.279439,48.859186
2024-1210547,2024-01-04,000001,Vente,30000,15,,AV VICTOR HUGO,9761,75016,75116,Paris 16e Arrondissement,75,,,75116000FG0018,,,167,8.45,169,,,,,,,,2,4,Local industriel. commercial ou assimilé,10,0,,,,,,2.292161,48.872135
2024-1210549,2024-01-05,000001,Vente,1960525.2,131,,AV DE MALAKOFF,5939,75016,75116,Paris 16e Arrondissement,75,,,75116000ET0022,,,7,146.41,,,,,,,,,1,2,Appartement,203,5,,,,,,2.283609,48.874631
2024-1210549,2024-01-05,000001,Vente,1960525.2,131,,AV DE MALAKOFF,5939,75016,75116,Paris 16e Arrondissement,75,,,75116000ET0022,,,89,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283609,48.874631
2024-1210550,2024-01-02,000001,Vente,1750000,24,,RUE OCTAVE FEUILLET,6864,75016,75116,Paris 16e Arrondissement,75,,,75116000DG0015,,,64,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.271403,48.862084
2024-1210550,2024-01-02,000001,Vente,1750000,24,,RUE OCTAVE FEUILLET,6864,75016,75116,Paris 16e Arrondissement,75,,,75116000DG0015,,,28,,88,,,,,,,,2,2,Appartement,135,5,,,,,,2.271403,48.862084
2024-1210550,2024-01-02,000001,Vente,1750000,24,,RUE OCTAVE FEUILLET,6864,75016,75116,Paris 16e Arrondissement,75,,,75116000DG0015,,,56,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.271403,48.862084
2024-1210550,2024-01-02,000001,Vente,1750000,24,,RUE OCTAVE FEUILLET,6864,75016,75116,Paris 16e Arrondissement,75,,,75116000DG0015,,,28,,88,,,,,,,,2,3,Dépendance,,0,,,,,,2.271403,48.862084
2024-1210557,2024-01-05,000001,Vente,272500,3,,RUE MARBEAU,5991,75016,75116,Paris 16e Arrondissement,75,,,75116000EV0050,,,110,,139,,,,,,,,2,2,Appartement,27,1,,,,,,2.281055,48.873851
2024-1210557,2024-01-05,000001,Vente,272500,3,,RUE MARBEAU,5991,75016,75116,Paris 16e Arrondissement,75,,,75116000EV0050,,,110,,139,,,,,,,,2,3,Dépendance,,0,,,,,,2.281055,48.873851
2024-1210559,2024-01-05,000001,Vente,460000,82,,RUE BOILEAU,1058,75016,75116,Paris 16e Arrondissement,75,,,75116000AQ0050,,,31,43.53,4,,,,,,,,2,3,Dépendance,,0,,,,,,2.262269,48.841043
2024-1210559,2024-01-05,000001,Vente,460000,82,,RUE BOILEAU,1058,75016,75116,Paris 16e Arrondissement,75,,,75116000AQ0050,,,31,43.53,4,,,,,,,,2,2,Appartement,40,2,,,,,,2.262269,48.841043
2024-1210569,2024-01-10,000001,Vente,837000,20,,RUE DE VARIZE,9603,75016,75116,Paris 16e Arrondissement,75,,,75116000AV0015,,,12,,58,96,,,,,,,2,3,Dépendance,,0,,,,,,2.257429,48.842348
2024-1210569,2024-01-10,000001,Vente,837000,20,,RUE DE VARIZE,9603,75016,75116,Paris 16e Arrondissement,75,,,75116000AV0015,,,12,,58,96,,,,,,,2,2,Appartement,77,3,,,,,,2.257429,48.842348
2024-1210569,2024-01-10,000001,Vente,837000,20,,RUE DE VARIZE,9603,75016,75116,Paris 16e Arrondissement,75,,,75116000AV0015,,,61,,,,,,,,,,1,2,Appartement,13,1,,,,,,2.257429,48.842348
2024-1210578,2024-01-10,000001,Vente,900450,5,,RUE CHALGRIN,1690,75016,75116,Paris 16e Arrondissement,75,,,75116000FA0106,,,141,72.55,,,,,,,,,1,2,Appartement,70,1,,,,,,2.288948,48.874359
2024-1210583,2024-01-05,000001,Vente,80000,5,,RUE GEORGES VILLE,4153,75016,75116,Paris 16e Arrondissement,75,,,75116000FE0030,,,61,9.71,,,,,,,,,1,3,Dépendance,,0,,,,,,2.288853,48.870349
2024-1210585,2024-01-03,000001,Vente,703000,24,,RUE HENRI HEINE,4563,75016,75116,Paris 16e Arrondissement,75,,,75116000BS0015,,,232,105.86,235,,,,,,,,2,2,Appartement,97,4,,,,,,2.265365,48.853009
2024-1210585,2024-01-03,000001,Vente,703000,24,,RUE HENRI HEINE,4563,75016,75116,Paris 16e Arrondissement,75,,,75116000BS0015,,,232,105.86,235,,,,,,,,2,3,Dépendance,,0,,,,,,2.265365,48.853009
2024-1210585,2024-01-03,000001,Vente,703000,24,,RUE HENRI HEINE,4563,75016,75116,Paris 16e Arrondissement,75,,,75116000BS0015,,,232,105.86,235,,,,,,,,2,3,Dépendance,,0,,,,,,2.265365,48.853009
2024-1210596,2024-01-11,000001,Vente,1126214,21,,AV PERRICHONT,7290,75016,75116,Paris 16e Arrondissement,75,,,75116000BZ0098,,,19,88.03,43,,,,,,,,2,2,Appartement,89,3,,,,,,2.273292,48.849631
2024-1210596,2024-01-11,000001,Vente,1126214,21,,AV PERRICHONT,7290,75016,75116,Paris 16e Arrondissement,75,,,75116000BZ0098,,,19,88.03,43,,,,,,,,2,3,Dépendance,,0,,,,,,2.273292,48.849631
2024-1210596,2024-01-11,000001,Vente,1126214,21,,AV PERRICHONT,7290,75016,75116,Paris 16e Arrondissement,75,,,75116000BZ0098,,,19,88.03,43,,,,,,,,2,3,Dépendance,,0,,,,,,2.273292,48.849631
2024-1210599,2024-01-11,000001,Vente,45000,13,,RUE FELICIEN DAVID,3545,75016,75116,Paris 16e Arrondissement,75,,,75116000CA0019,,,134,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.274934,48.849781
2024-1210601,2024-01-09,000001,Vente,835500,32,,RUE JEAN DE LA FONTAINE,5249,75016,75116,Paris 16e Arrondissement,75,,,75116000BU0046,,,135,,2,97.6,,,,,,,2,4,Local industriel. commercial ou assimilé,120,0,,,,,,2.272693,48.851675
2024-1210602,2024-01-08,000001,Vente,549800,2,,RUE GUSTAVE ZEDE,4428,75016,75116,Paris 16e Arrondissement,75,,,75116000CM0075,,,7,49.1,,,,,,,,,1,2,Appartement,49,2,,,,,,2.272911,48.856193
2024-1210604,2024-01-04,000001,Vente,1114250,45,,BD DE MONTMORENCY,6516,75016,75116,Paris 16e Arrondissement,75,,,75116000BR0060,,,179,,54,83.05,,,,,,,2,2,Appartement,83,3,,,,,,2.262913,48.852324
2024-1210604,2024-01-04,000001,Vente,1114250,45,,BD DE MONTMORENCY,6516,75016,75116,Paris 16e Arrondissement,75,,,75116000BR0060,,,179,,54,83.05,,,,,,,2,3,Dépendance,,0,,,,,,2.262913,48.852324
